,country,year,population
191,country_42,2022,33.93853903323263
192,country_21,2006,29.006010622356495
193,country_14,2028,32.9214634068814
194,country_22,2003,63.448861051359515
195,country_4,2024,5.811078888217523
196,country_35,2007,22.508666054380665
197,country_15,2018,41.18551372809667
198,country_5,2025,108.51790815709971
199,country_8,2025,722.347413897281
200,country_16,2005,5.561527867069486
201,country_42,2029,34.92275057707602
202,country_21,2020,29.956916314199393
203,country_14,2005,30.28308407250755
204,country_1,2030,14.014186931916539
205,country_4,2019,5.717370972834441
206,country_21,2013,29.810755649546827
207,country_41,2017,162.0016927552067
208,country_41,2007,149.74373330992245
209,country_6,2024,19.610116450717463
210,country_41,2019,163.72014590556563
211,country_22,2000,63.18418288821752
212,country_35,2000,20.227370561933537
213,country_42,2016,32.84852814503988
214,country_22,2022,62.22329697885196
215,country_22,2001,63.27815042900303
216,country_41,2011,154.63383041409742
217,country_15,2006,40.36690351661632
218,country_22,2010,63.68865828398791
219,country_15,2005,40.431569558912386
220,country_15,2026,41.33716228498257
221,country_42,2021,33.794463051359514
222,country_4,2016,5.625754924471298
223,country_35,2013,23.252601268882174
224,country_38,2004,11.129393764350453
225,country_15,2000,40.33155482779456
226,country_1,2007,10.363384942598186
227,country_6,2002,15.512445129909365
228,country_16,2022,5.1115663685800605
229,country_38,2023,11.875413413897281
230,country_41,2008,151.09195124973633
231,country_21,2010,29.393769051359516
232,country_42,2028,34.74594656949117
233,country_6,2030,20.861971363918233
234,country_4,2002,5.13547172205438
235,country_42,2019,33.45905803023625
236,country_16,2020,5.164292616338972
237,country_6,2005,15.95610798791541
238,country_4,2001,5.112746574018127
239,country_38,2017,11.706159468302719
240,country_42,2015,32.631613123854684
241,country_8,2016,700.6165968700906
242,country_8,2003,651.6911705256798
243,country_8,2005,659.3574813293051
244,country_4,2003,5.1622998429003015
245,country_16,2006,5.541925655589124
246,country_38,2024,11.895633474320242
247,country_5,2003,90.08071403021148
248,country_8,2017,704.0712197099698
249,country_16,2015,5.281567975855589
250,country_8,2010,678.2022382477342
251,country_14,2023,32.57465309969788
252,country_38,2016,11.671600555916012
253,country_37,2022,4.34705881570997
254,country_5,2007,94.20360317824775
255,country_1,2009,10.776856688821752
256,country_16,2028,4.95836630517983
257,country_15,2025,41.37904611480363
258,country_15,2020,41.51228694864048
259,country_22,2013,63.575613232628406
260,country_41,2004,145.54798007877326
261,country_4,2020,5.742290549848942
262,country_35,2024,23.104020241716615
263,country_14,2014,31.805867673716016
264,country_15,2023,41.50762459219457
265,country_8,2007,666.8972738126888
266,country_14,2017,32.12740627189093
267,country_6,2001,15.345328634441088
268,country_37,2017,4.18958264652568
269,country_4,2030,5.90688241235523
270,country_16,2021,5.138374670719637
271,country_35,2012,23.31825329305136
272,country_37,2006,3.6951816072507553
273,country_35,2028,22.990684334614308
274,country_35,2001,20.47246534138973
275,country_6,2009,16.63835703021148
276,country_35,2010,23.252829184290032
277,country_5,2006,93.23095584290031
278,country_4,2006,5.261612990936555
